pos,offense,off_pct,defense,def_pct,special_teams,st_pct,player_id,player_name,team
LB,0,0%,206,18.93%,36,7.76%,MerrSh99,Shawne Merriman,buf
LB,0,0%,0,0%,5,1.08%,LloyGr01,Greg Lloyd,buf
CB,0,0%,1056,97.06%,78,16.81%,GilmSt00,Stephon Gilmore,buf
CB,0,0%,347,31.89%,257,55.39%,McKeLe99,Leodis McKelvin,buf
CB,0,0%,547,50.28%,42,9.05%,WillAa00,Aaron Williams,buf
CB,0,0%,142,13.05%,5,1.08%,McGeTe99,Terrence McGee,buf
CB,0,0%,537,49.36%,177,38.15%,RogeJu00,Justin Rogers,buf
CB,0,0%,17,1.56%,7,1.51%,ButlCr99,Crezdon Butler,buf
SS,0,0%,897,82.44%,113,24.35%,WilsGe01,George Wilson,buf
SS,0,0%,272,25.00%,253,54.53%,SearDa00,Da'Norris Searcy,buf
SS,0,0%,2,.18%,119,25.65%,SilvMa00,Mana Silva,buf
FS,0,0%,1022,93.93%,123,26.51%,ByrdJa99,Jairus Byrd,buf
FS,0,0%,0,0%,15,3.23%,HoweDe00,Delano Howell,buf
DB,0,0%,161,14.80%,117,25.22%,BrooRo01,Ron Brooks,buf
LS,0,0%,0,0%,145,31.25%,SanbGa00,Garrison Sanborn,buf
K,0,0%,0,0%,26,5.60%,PottJo00,John Potter,buf
K,0,0%,0,0%,111,23.92%,linderia01,Rian Lindell,buf
P,0,0%,0,0%,28,6.03%,MoorBr24,Brian Moorman,buf
P,0,0%,0,0%,113,24.35%,PoweSh00,Shawn Powell,buf
QB,1021,99.13%,0,0%,0,0%,NewtCa00,Cam Newton,car
QB,9,.87%,0,0%,0,0%,AndeDe00,Derek Anderson,car
RB,312,30.29%,0,0%,0,0%,StewJo00,Jonathan Stewart,car
RB,418,40.58%,0,0%,0,0%,WillDe02,DeAngelo Williams,car
RB,8,.78%,0,0%,48,10.81%,SmitAr00,Armond Smith,car
FB,446,43.30%,0,0%,76,17.12%,TolbMi00,Mike Tolbert,car
FB,67,6.50%,0,0%,230,51.80%,BrocRi00,Richie Brockel,car
